Order ID,Ship Date,Ship Mode
CA-2018-144624,2018-11-23,Standard Class
CA-2020-146206,2020-09-14,Second Class
CA-2018-136644,2018-06-22,Standard Class
CA-2019-122371,2019-10-01,Standard Class
CA-2020-126935,2020-05-24,Standard Class
US-2021-133781,2021-06-23,First Class
CA-2021-131618,2021-06-20,First Class
CA-2020-149482,2020-11-19,Standard Class
CA-2018-143917,2018-07-27,Second Class
CA-2019-120397,2019-07-02,Same Day
CA-2021-163902,2021-03-08,Standard Class
CA-2020-136812,2020-11-23,Standard Class
CA-2019-102722,2019-04-19,First Class
CA-2021-155089,2021-12-06,Standard Class
CA-2020-124506,2020-11-17,Standard Class
CA-2018-106572,2018-09-10,Standard Class
CA-2018-128888,2018-11-22,Standard Class
CA-2021-123134,2021-05-07,Standard Class
CA-2020-124352,2020-10-21,Standard Class
CA-2019-124541,2019-04-10,Standard Class
CA-2018-108707,2018-10-29,Standard Class
CA-2018-111500,2018-08-21,Standard Class
US-2021-117723,2021-08-18,Second Class
CA-2019-143238,2019-09-08,First Class
CA-2019-168746,2019-01-29,Second Class
CA-2019-113404,2019-07-16,Same Day
CA-2020-144792,2020-05-04,Standard Class
CA-2018-164385,2018-10-01,Second Class
US-2020-114174,2020-09-14,Standard Class
CA-2021-108070,2021-04-20,Standard Class
US-2019-128090,2019-08-22,Standard Class
CA-2021-101042,2021-11-23,Standard Class
CA-2020-155439,2020-09-18,Standard Class
CA-2020-118626,2020-08-20,Standard Class
CA-2019-111458,2019-09-30,Standard Class
US-2020-126844,2020-10-14,Standard Class
US-2019-112508,2019-03-30,Standard Class
CA-2019-147788,2019-06-04,Standard Class
CA-2019-144288,2019-12-31,Standard Class
CA-2019-110632,2019-03-22,Second Class
CA-2021-109589,2021-12-24,First Class
CA-2021-123967,2021-11-03,Second Class
CA-2021-148929,2021-09-11,Standard Class
CA-2021-134404,2021-12-27,Same Day
CA-2021-109778,2021-07-21,Standard Class
CA-2020-155845,2020-08-15,Second Class
CA-2021-145128,2021-07-14,Standard Class
CA-2018-129091,2018-11-27,Standard Class
US-2018-155502,2018-01-31,Standard Class
CA-2019-121041,2019-11-10,Standard Class
CA-2021-131695,2021-07-06,Standard Class
CA-2020-137729,2020-05-09,Standard Class
US-2020-115455,2020-09-14,Standard Class
CA-2021-128300,2021-11-26,Second Class
CA-2021-149048,2021-05-17,Standard Class
CA-2021-108553,2021-04-29,Standard Class
CA-2020-165848,2020-06-04,Same Day
CA-2018-112718,2018-12-21,Standard Class
CA-2020-154053,2020-03-10,Standard Class
CA-2018-127446,2018-11-30,Standard Class
CA-2020-137204,2020-05-05,Standard Class
CA-2018-147298,2018-05-03,Standard Class
CA-2021-147942,2021-04-05,Standard Class
CA-2021-115931,2021-12-26,Standard Class
CA-2018-164861,2018-12-06,Second Class
CA-2021-127180,2021-10-24,First Class
US-2021-165344,2021-11-15,First Class
CA-2019-168186,2019-09-15,Standard Class
US-2021-110604,2021-05-20,Standard Class
CA-2019-116750,2019-07-10,Second Class
CA-2019-162369,2019-08-19,Standard Class
CA-2021-108441,2021-06-18,Standard Class
CA-2019-169740,2019-02-25,Standard Class
CA-2020-124051,2020-12-30,First Class
CA-2020-149111,2020-04-21,Second Class
CA-2018-131002,2018-09-12,Second Class
US-2020-146794,2020-10-01,Standard Class
CA-2021-112515,2021-09-21,Second Class
CA-2020-150343,2020-08-20,Standard Class
CA-2019-135538,2019-12-28,Standard Class
CA-2021-123372,2021-12-02,Standard Class
CA-2021-159604,2021-04-15,First Class
CA-2020-164784,2020-05-04,First Class
CA-2020-111794,2020-10-01,Same Day
US-2019-139759,2019-08-30,Standard Class
CA-2018-126403,2018-09-12,Second Class
CA-2021-136875,2021-12-03,Same Day
CA-2021-132185,2021-12-02,Standard Class
US-2018-160780,2018-06-21,Same Day
CA-2021-127026,2021-01-27,Standard Class
CA-2021-137085,2021-07-06,Standard Class
CA-2020-133123,2020-09-11,Standard Class
US-2020-128195,2020-08-05,First Class
CA-2019-153220,2019-11-14,First Class
CA-2018-123064,2018-07-02,First Class
CA-2021-156412,2021-12-08,Standard Class
US-2020-144211,2020-09-02,Standard Class
CA-2020-138079,2020-01-28,Standard Class
CA-2018-143182,2018-10-20,Standard Class
CA-2020-161662,2020-02-09,First Class
CA-2018-145317,2018-03-23,Standard Class
CA-2018-143413,2018-05-30,Standard Class
CA-2021-156818,2021-07-13,Second Class
CA-2021-155873,2021-06-21,Standard Class
CA-2019-121797,2019-02-06,Standard Class
US-2019-120572,2019-12-15,Standard Class
CA-2021-132430,2021-10-11,First Class
CA-2021-146031,2021-08-01,Second Class
CA-2018-110100,2018-04-29,Standard Class
CA-2019-103723,2019-12-06,Standard Class
CA-2018-127187,2018-12-08,Standard Class
CA-2021-128475,2021-09-01,Standard Class
CA-2018-100006,2018-09-13,Standard Class
CA-2021-144827,2021-12-27,Standard Class
CA-2018-110030,2018-12-08,Second Class
CA-2018-121286,2018-11-08,Second Class
CA-2020-164735,2020-04-19,Second Class
CA-2018-153479,2018-10-08,Standard Class
CA-2021-149888,2021-11-13,Standard Class
CA-2021-119193,2021-12-24,First Class
CA-2021-104801,2021-02-19,Standard Class
CA-2018-107594,2018-07-06,Standard Class
CA-2019-129770,2019-02-23,Second Class
CA-2019-115798,2019-11-19,Standard Class
CA-2021-122707,2021-04-18,First Class
CA-2020-165015,2020-02-27,Second Class
CA-2018-149244,2018-11-08,Standard Class
CA-2019-140144,2019-06-25,Second Class
CA-2021-163321,2021-08-11,Second Class
CA-2018-155887,2018-05-17,Standard Class
US-2019-165449,2019-11-26,Standard Class
CA-2019-110247,2019-12-08,Standard Class
US-2018-141257,2018-06-14,Standard Class
CA-2018-154669,2018-08-11,Second Class
CA-2018-158029,2018-05-30,Standard Class
CA-2019-155306,2019-04-21,Standard Class
CA-2020-127775,2020-06-13,Second Class
CA-2020-146171,2020-03-15,Standard Class
CA-2018-129574,2018-05-29,First Class
CA-2021-126536,2021-10-14,First Class
CA-2021-165757,2021-06-28,Standard Class
CA-2021-167752,2021-01-18,First Class
US-2019-122140,2019-04-07,Standard Class
CA-2020-163986,2020-09-10,Standard Class
CA-2021-158967,2021-12-12,First Class
CA-2020-131576,2020-11-26,Standard Class
CA-2021-143455,2021-11-18,Standard Class
CA-2020-144729,2020-10-25,Standard Class
CA-2019-127019,2019-12-25,Standard Class
CA-2019-138534,2019-07-19,Second Class
CA-2021-108322,2021-05-05,Standard Class
CA-2021-167668,2021-05-08,First Class
CA-2021-146724,2021-11-27,Standard Class
CA-2020-139878,2020-11-16,Standard Class
US-2020-106677,2020-11-10,Standard Class
CA-2020-116974,2020-10-15,Standard Class
CA-2019-149972,2019-09-23,First Class
US-2018-117744,2018-12-06,Standard Class
CA-2018-125514,2018-09-22,First Class
CA-2018-154599,2018-04-17,Standard Class
CA-2021-158743,2021-10-27,Standard Class
CA-2020-153318,2020-10-28,First Class
US-2019-110163,2019-11-04,First Class
CA-2021-143329,2021-11-08,Standard Class
CA-2019-159380,2019-05-16,Standard Class
CA-2019-122623,2019-09-11,Standard Class
CA-2019-148635,2019-07-27,Second Class
CA-2019-135685,2019-11-18,Second Class
CA-2019-104626,2019-09-08,Standard Class
CA-2020-160500,2020-05-08,First Class
CA-2020-100202,2021-01-05,Standard Class
CA-2021-131016,2021-09-20,First Class
US-2018-112914,2018-09-30,Standard Class
CA-2020-124149,2020-04-26,First Class
CA-2018-148915,2018-11-05,Standard Class
CA-2021-134649,2021-01-31,Second Class
CA-2021-110842,2021-11-16,Standard Class
CA-2020-147368,2020-06-12,First Class
US-2019-104185,2019-09-08,Second Class
US-2018-125521,2018-03-19,Standard Class
US-2021-135062,2021-09-04,Second Class
CA-2021-135650,2021-03-27,Standard Class
CA-2021-112865,2021-05-22,Standard Class
US-2020-162852,2020-12-31,Standard Class
CA-2021-138163,2021-11-20,First Class
CA-2021-152093,2021-09-15,Standard Class
CA-2021-157854,2021-04-15,Standard Class
CA-2020-123617,2020-12-03,Standard Class
US-2020-128293,2020-06-05,First Class
CA-2021-107342,2021-12-22,Standard Class
CA-2020-136371,2020-03-21,Second Class
CA-2021-137344,2021-08-20,Same Day
CA-2021-169810,2021-07-31,Standard Class
CA-2020-128594,2020-08-29,First Class
CA-2020-154690,2020-08-17,Second Class
CA-2021-138975,2021-05-23,Standard Class
CA-2021-106537,2021-08-17,Standard Class
US-2021-103828,2021-08-13,Same Day
CA-2020-115588,2020-11-12,Second Class
CA-2021-143861,2021-06-19,Standard Class
CA-2018-148040,2018-03-26,Standard Class
CA-2021-135167,2021-06-20,Standard Class
CA-2021-137022,2021-11-22,Standard Class
US-2021-102638,2021-12-31,First Class
US-2020-167339,2020-01-23,Second Class
CA-2020-152072,2020-01-19,Standard Class
CA-2020-102932,2020-09-23,Second Class
CA-2018-165540,2018-02-25,Standard Class
CA-2020-130799,2020-11-16,Second Class
CA-2020-164483,2020-02-03,Standard Class
US-2020-159856,2020-10-22,Standard Class
CA-2021-102099,2021-12-19,First Class
CA-2021-164049,2021-11-06,Standard Class
CA-2018-142727,2018-05-01,Second Class
CA-2021-139913,2021-10-29,Standard Class
CA-2018-169033,2018-04-03,Standard Class
US-2020-164630,2020-01-09,Standard Class
US-2019-114839,2019-04-30,Standard Class
CA-2019-166464,2019-09-17,Standard Class
CA-2021-124898,2021-09-15,Standard Class
CA-2020-164035,2020-06-17,Standard Class
CA-2020-153577,2020-07-01,Standard Class
CA-2018-127586,2018-09-30,Standard Class
CA-2021-121615,2021-11-09,Standard Class
CA-2021-166415,2021-02-23,Standard Class
CA-2019-118444,2019-11-09,Standard Class
CA-2018-113929,2018-06-21,Standard Class
CA-2019-134747,2019-10-17,Second Class
CA-2021-155047,2021-08-30,First Class
CA-2020-160129,2020-11-23,Same Day
CA-2021-164329,2021-01-30,Same Day
US-2019-141453,2019-12-03,Second Class
CA-2018-156993,2018-07-04,Standard Class
CA-2018-157721,2018-09-05,First Class
CA-2021-128629,2021-07-14,Second Class
CA-2021-158106,2021-06-10,Standard Class
US-2021-120390,2021-10-26,Standard Class
CA-2021-143434,2021-11-24,Standard Class
CA-2019-168564,2019-08-08,Same Day
US-2020-169040,2020-12-12,Standard Class
CA-2021-155880,2021-03-31,Standard Class
CA-2021-126242,2021-11-24,Standard Class
CA-2020-166443,2020-11-05,First Class
CA-2021-169859,2021-12-18,Standard Class
CA-2021-134915,2021-11-12,Same Day
CA-2020-153353,2020-08-24,Standard Class
CA-2021-123638,2021-07-04,Standard Class
CA-2021-168900,2021-05-09,Standard Class
CA-2019-158456,2019-12-29,Standard Class
CA-2021-143665,2021-05-01,Standard Class
CA-2021-137428,2021-12-21,Second Class
CA-2018-162866,2018-12-31,Standard Class
CA-2021-167941,2021-11-09,Second Class
CA-2021-111808,2021-12-20,Standard Class
CA-2019-137512,2019-05-12,Standard Class
CA-2021-139773,2021-12-04,Same Day
CA-2021-134607,2021-10-08,Second Class
CA-2018-109232,2018-01-16,Second Class
CA-2019-139850,2019-06-17,Standard Class
CA-2018-131310,2018-07-18,Standard Class
US-2018-112872,2018-12-11,Second Class
CA-2020-139269,2020-05-30,Standard Class
CA-2020-139010,2020-02-26,Second Class
CA-2020-134376,2020-10-06,Standard Class
CA-2021-147291,2021-03-17,Standard Class
CA-2020-112893,2020-09-13,Second Class
US-2018-150532,2018-07-21,Standard Class
CA-2018-138317,2018-06-25,Standard Class
CA-2019-130610,2019-07-10,Standard Class
CA-2021-104381,2021-12-23,Standard Class
CA-2020-131499,2020-09-10,First Class
CA-2018-148761,2018-05-21,Standard Class
CA-2021-116519,2021-10-15,First Class
CA-2018-130729,2018-10-29,Standard Class
CA-2020-124772,2020-12-06,First Class
CA-2020-115525,2020-07-29,Standard Class
CA-2021-134845,2021-04-23,Standard Class
US-2019-138919,2019-09-21,Standard Class
US-2020-160528,2020-08-30,Standard Class
CA-2019-123568,2019-11-14,Standard Class
CA-2021-124674,2021-11-23,Standard Class
CA-2019-164441,2019-11-13,Standard Class
CA-2021-169054,2021-04-26,Standard Class
CA-2018-106719,2018-08-24,Same Day
CA-2021-116855,2021-12-21,Standard Class
US-2020-164189,2020-03-28,Standard Class
CA-2019-168480,2019-09-27,Standard Class
US-2020-114293,2020-11-26,Standard Class
CA-2021-134173,2021-09-21,Standard Class
US-2019-123960,2019-06-16,Standard Class
CA-2021-101749,2021-10-08,Standard Class
US-2020-147991,2020-05-09,Standard Class
CA-2021-149559,2021-09-12,Same Day
CA-2019-135174,2019-05-02,Second Class
CA-2021-125290,2021-11-10,Second Class
CA-2018-137351,2018-10-04,Standard Class
CA-2021-121419,2021-04-04,First Class
US-2021-148054,2021-10-11,Standard Class
CA-2020-128517,2020-04-14,Second Class
US-2019-100377,2019-09-01,Standard Class
CA-2021-131492,2021-10-24,Second Class
CA-2020-144554,2020-11-12,Standard Class
CA-2021-127621,2021-03-07,Standard Class
CA-2019-145184,2019-11-29,First Class
CA-2021-106859,2021-03-18,Second Class
US-2021-120089,2021-11-30,Same Day
CA-2018-119375,2018-11-22,Standard Class
CA-2020-125206,2020-01-05,First Class
CA-2019-126137,2019-10-08,Standard Class
CA-2018-143903,2018-07-24,Standard Class
CA-2018-104780,2018-05-25,Standard Class
CA-2021-101182,2021-09-05,First Class
US-2021-132297,2021-06-02,Standard Class
CA-2018-100328,2018-02-03,Standard Class
CA-2021-118773,2021-02-14,Standard Class
US-2021-159205,2021-04-02,Second Class
CA-2020-112123,2020-03-08,Standard Class
CA-2019-114468,2019-08-23,Same Day
CA-2021-135692,2021-05-01,Standard Class
CA-2021-131233,2021-04-19,Standard Class
CA-2021-119578,2021-12-27,Second Class
CA-2020-124562,2020-12-12,Standard Class
US-2021-140074,2021-03-29,Standard Class
CA-2020-103037,2020-07-29,Standard Class
CA-2021-127460,2021-07-14,Standard Class
CA-2020-121671,2020-07-22,Standard Class
CA-2020-150350,2020-08-30,Standard Class
CA-2019-121720,2019-06-12,First Class
CA-2021-149895,2021-09-12,Standard Class
CA-2021-147564,2021-10-06,Standard Class
CA-2018-136399,2018-12-17,First Class
CA-2018-107916,2018-08-26,First Class
CA-2021-164168,2021-11-18,Standard Class
CA-2019-112557,2019-04-28,First Class
US-2018-122959,2018-12-12,Same Day
CA-2021-162572,2021-09-27,Second Class
US-2020-148110,2020-09-11,Standard Class
CA-2021-131828,2021-02-13,Second Class
CA-2018-109218,2018-07-03,Second Class
CA-2020-120558,2020-06-10,First Class
US-2018-109036,2018-12-25,Standard Class
CA-2019-147830,2019-12-18,First Class
CA-2021-150497,2021-07-24,Standard Class
CA-2018-128986,2018-08-05,Second Class
CA-2019-139584,2019-08-28,Standard Class
US-2020-162677,2020-03-27,First Class
US-2018-150924,2018-09-16,Second Class
CA-2018-153969,2018-09-25,Standard Class
CA-2020-146682,2020-10-31,First Class
CA-2020-138695,2020-06-03,Standard Class
CA-2021-107461,2021-12-26,Second Class
US-2020-133879,2020-03-28,Standard Class
CA-2021-157483,2021-11-18,Standard Class
US-2021-132059,2021-09-29,Standard Class
CA-2021-122280,2021-09-10,Same Day
CA-2021-105235,2021-12-11,Standard Class
CA-2021-152912,2021-11-12,Second Class
CA-2018-123498,2018-11-09,First Class
CA-2021-159352,2021-03-17,Standard Class
US-2021-146416,2021-10-22,Second Class
US-2019-163783,2020-01-01,Standard Class
CA-2021-123981,2021-10-08,Standard Class
CA-2021-158953,2021-06-08,Standard Class
CA-2018-165428,2018-09-04,First Class
CA-2020-169026,2020-08-13,Standard Class
CA-2021-109750,2021-07-28,Standard Class
CA-2019-149384,2019-07-10,Same Day
CA-2018-131527,2018-12-07,Standard Class
CA-2021-164000,2021-12-22,Standard Class
CA-2018-164224,2018-05-20,Second Class
CA-2018-158372,2018-11-16,Standard Class
CA-2020-108882,2020-01-15,Standard Class
US-2021-108245,2021-09-27,Standard Class
CA-2018-142314,2018-12-28,Standard Class
CA-2020-132409,2020-06-01,Standard Class
CA-2021-150189,2021-07-10,First Class
CA-2018-114433,2018-05-17,Standard Class
CA-2021-104640,2021-11-16,Standard Class
US-2019-137008,2019-10-08,Standard Class
CA-2018-108189,2018-10-05,First Class
CA-2018-154641,2018-08-16,Standard Class
CA-2021-131625,2021-09-05,Second Class
US-2021-156356,2021-04-22,Standard Class
CA-2020-138933,2020-04-27,First Class
CA-2020-140746,2020-01-15,Same Day
CA-2020-146836,2020-05-02,Same Day
US-2020-127971,2020-11-27,Standard Class
US-2020-140809,2020-02-03,First Class
CA-2021-114524,2021-04-05,Second Class
CA-2021-113355,2021-12-05,Standard Class
US-2021-140907,2021-12-12,Second Class
CA-2020-159730,2020-09-21,Standard Class
CA-2020-157868,2020-12-29,Standard Class
CA-2021-119389,2021-04-19,First Class
CA-2021-110373,2021-10-30,Second Class
CA-2020-155474,2020-07-14,Standard Class
CA-2019-155453,2019-08-14,Standard Class
US-2020-161844,2020-12-14,Second Class
US-2020-162103,2020-11-17,Standard Class
CA-2018-151554,2018-11-15,First Class
CA-2018-140662,2018-11-19,First Class
CA-2020-122518,2020-03-08,Second Class
US-2018-126571,2018-10-15,Standard Class
CA-2018-143840,2018-05-29,Standard Class
CA-2018-115980,2018-07-19,Standard Class
CA-2019-155145,2019-12-29,Second Class
CA-2019-146038,2019-02-16,Standard Class
CA-2021-133865,2021-05-12,Standard Class
CA-2021-116358,2021-11-06,Standard Class
CA-2018-102988,2018-04-09,Second Class
US-2018-117170,2018-09-24,Standard Class
CA-2018-159478,2018-10-06,Standard Class
CA-2018-103702,2018-09-17,Standard Class
CA-2021-150525,2021-02-25,Standard Class
CA-2019-157770,2019-12-15,First Class
CA-2020-167290,2020-11-04,Standard Class
CA-2018-106264,2018-12-30,Standard Class
CA-2018-138023,2018-08-18,First Class
CA-2021-113418,2021-10-03,First Class
US-2019-110569,2019-05-30,Standard Class
CA-2021-136308,2021-11-16,Same Day
US-2018-159926,2018-11-22,Standard Class
CA-2018-104738,2019-01-01,Second Class
CA-2019-144386,2019-11-11,Standard Class
CA-2020-111416,2020-09-22,Standard Class
CA-2020-162747,2020-03-25,Second Class
US-2018-133130,2018-10-01,Standard Class
CA-2021-169978,2021-12-28,Standard Class
CA-2021-161739,2021-11-15,Second Class
CA-2019-165057,2019-09-15,Standard Class
CA-2018-134551,2018-12-25,Standard Class
CA-2019-120810,2019-07-27,Standard Class
CA-2018-165309,2018-11-15,Standard Class
CA-2021-122595,2021-12-20,Standard Class
US-2021-109253,2021-08-22,First Class
CA-2020-145982,2020-09-01,Second Class
CA-2019-112014,2019-08-20,Standard Class
CA-2021-154732,2021-11-07,First Class
US-2020-157308,2020-08-21,Standard Class
CA-2020-147536,2020-12-31,Standard Class
US-2018-134733,2018-09-28,Standard Class
US-2018-150434,2018-07-24,Standard Class
CA-2021-100335,2021-09-13,Standard Class
CA-2020-139234,2020-05-10,Standard Class
US-2019-142020,2019-06-08,Second Class
CA-2019-139962,2019-12-20,Standard Class
CA-2020-130050,2020-07-18,Second Class
CA-2018-115161,2018-02-02,First Class
CA-2018-165379,2018-07-15,Standard Class
CA-2019-115511,2019-11-25,Standard Class
CA-2020-134887,2020-03-25,Same Day
CA-2021-123778,2021-09-30,Standard Class
CA-2019-161718,2019-12-10,Standard Class
CA-2020-100671,2020-11-04,First Class
CA-2021-142867,2021-03-21,Standard Class
CA-2021-103156,2021-11-24,First Class
US-2021-162208,2021-08-30,First Class
CA-2019-130659,2019-12-09,Second Class
CA-2021-148404,2021-10-11,Standard Class
CA-2021-101077,2021-03-30,Second Class
CA-2018-166471,2018-08-13,Standard Class
CA-2018-105340,2018-11-25,First Class
US-2021-131583,2021-06-10,Same Day
US-2021-148362,2021-07-08,Standard Class
CA-2018-102274,2018-11-26,Standard Class
CA-2019-129700,2019-05-05,First Class
CA-2021-168739,2021-06-05,Standard Class
CA-2019-152527,2019-10-17,Same Day
US-2018-150119,2018-04-27,Standard Class
US-2021-150847,2021-05-06,Standard Class
CA-2020-100244,2020-09-24,Standard Class
CA-2020-116540,2020-09-02,Same Day
CA-2019-151841,2019-05-02,Standard Class
CA-2019-150791,2019-09-13,Standard Class
CA-2020-134803,2020-06-03,Standard Class
CA-2019-153381,2019-09-28,Standard Class
US-2021-111024,2021-07-06,Second Class
CA-2021-148264,2021-12-09,First Class
CA-2021-131212,2021-12-09,Standard Class
US-2019-100531,2019-09-29,First Class
CA-2021-152583,2021-10-30,Same Day
CA-2019-144099,2019-11-30,Same Day
CA-2018-158337,2018-03-14,Second Class
CA-2021-168858,2021-11-23,Standard Class
CA-2020-116344,2020-08-02,Standard Class
CA-2019-131779,2019-06-17,Standard Class
CA-2020-158869,2020-08-07,First Class
CA-2021-102554,2021-06-15,Standard Class
CA-2020-162614,2020-10-13,Standard Class
CA-2018-168592,2018-09-14,Standard Class
CA-2018-157609,2018-03-21,Second Class
CA-2019-153325,2019-03-02,Second Class
CA-2019-153626,2019-07-14,Standard Class
CA-2020-166485,2020-02-27,Standard Class
CA-2021-136448,2021-09-18,First Class
CA-2021-114258,2021-11-10,Second Class
CA-2019-152611,2019-02-23,Second Class
CA-2020-165470,2020-11-30,Standard Class
CA-2021-128699,2021-12-05,Second Class
US-2019-147242,2019-09-14,Standard Class
CA-2020-146143,2020-12-19,Standard Class
CA-2019-100888,2019-04-10,Standard Class
US-2020-150035,2020-12-05,Standard Class
CA-2021-122644,2021-11-17,Standard Class
CA-2021-111815,2021-03-10,Standard Class
CA-2020-144911,2020-11-30,First Class
CA-2018-143385,2018-09-05,Standard Class
CA-2020-131289,2020-12-14,Standard Class
CA-2018-124023,2018-04-10,First Class
CA-2018-124688,2018-08-29,First Class
CA-2020-151169,2020-10-26,Standard Class
US-2020-134761,2020-11-30,Same Day
CA-2021-120705,2021-09-11,Standard Class
CA-2019-157322,2019-07-06,Standard Class
CA-2021-142034,2021-09-28,Standard Class
CA-2020-107328,2020-08-15,Standard Class
CA-2020-108616,2020-10-03,Standard Class
CA-2021-125115,2021-04-10,Same Day
CA-2020-150945,2020-12-20,Second Class
CA-2018-166863,2018-06-24,Standard Class
CA-2021-140326,2021-09-06,First Class
CA-2020-168536,2020-12-24,Standard Class
US-2020-113649,2020-08-12,First Class
CA-2019-124975,2019-06-25,First Class
CA-2019-168767,2019-04-15,Standard Class
CA-2020-114482,2020-11-25,Second Class
CA-2020-137673,2020-09-10,Standard Class
CA-2020-132731,2020-11-28,Standard Class
CA-2021-148922,2021-12-15,Second Class
CA-2020-130680,2020-06-29,Standard Class
CA-2019-141145,2019-09-23,Standard Class
US-2020-152835,2020-05-23,Standard Class
CA-2020-155565,2020-05-28,Same Day
CA-2018-110849,2018-04-23,Standard Class
CA-2020-145842,2020-06-20,Second Class
CA-2018-158771,2018-05-09,Same Day
CA-2020-157511,2020-09-20,First Class
CA-2021-121216,2021-12-25,Second Class
CA-2021-155292,2021-11-01,First Class
CA-2020-152555,2020-04-02,Second Class
CA-2021-107832,2021-11-26,Second Class
CA-2018-120838,2018-03-26,Second Class
CA-2021-118542,2021-12-05,Standard Class
CA-2021-152737,2021-11-12,Standard Class
CA-2021-109757,2021-09-09,Second Class
CA-2020-130029,2020-07-06,First Class
CA-2021-103877,2021-09-14,Standard Class
CA-2020-137176,2020-09-14,Second Class
CA-2021-168109,2021-07-03,Same Day
US-2021-126081,2021-07-04,Standard Class
CA-2021-117023,2021-08-12,Standard Class
CA-2019-143532,2019-03-24,Standard Class
CA-2020-103163,2020-06-11,Standard Class
CA-2020-104157,2020-07-29,Standard Class
CA-2021-117807,2021-10-07,Standard Class
CA-2019-121650,2019-12-16,Standard Class
CA-2021-161823,2021-09-08,Standard Class
CA-2021-121839,2021-09-28,Standard Class
CA-2021-158729,2021-12-21,First Class
CA-2021-146535,2021-11-30,Standard Class
CA-2018-154186,2018-12-15,Second Class
CA-2020-108434,2020-12-07,Second Class
CA-2020-164154,2020-09-17,Standard Class
CA-2021-148012,2021-12-15,Standard Class
CA-2018-102869,2018-09-14,Second Class
CA-2021-138310,2021-06-30,Standard Class
CA-2018-159835,2018-11-24,Standard Class
CA-2021-112956,2021-08-27,Standard Class
CA-2020-119683,2020-03-16,Second Class
CA-2018-163559,2018-09-28,Second Class
CA-2018-140228,2018-05-03,Standard Class
US-2020-131674,2020-12-01,Second Class
CA-2019-110093,2019-12-08,Standard Class
CA-2021-112529,2021-11-21,First Class
CA-2020-154536,2020-09-09,Standard Class
CA-2021-141929,2021-09-08,Standard Class
CA-2020-109743,2020-09-29,Standard Class
CA-2018-159184,2018-09-19,Standard Class
CA-2021-113530,2021-05-21,Second Class
CA-2018-169726,2018-08-13,Standard Class
CA-2021-155957,2021-11-30,Standard Class
CA-2021-132178,2021-05-08,Second Class
CA-2020-145177,2020-11-14,Standard Class
CA-2018-156594,2018-12-23,Second Class
CA-2018-146528,2018-07-27,Second Class
CA-2019-168459,2019-11-27,Standard Class
CA-2021-109960,2021-12-11,Second Class
CA-2021-133004,2021-09-05,Standard Class
CA-2021-168102,2021-04-30,Standard Class
CA-2021-158036,2021-09-14,Standard Class
CA-2019-128083,2019-03-17,Standard Class
CA-2020-161676,2020-07-23,Standard Class
CA-2020-155005,2020-06-15,Second Class
US-2021-129777,2021-07-09,Standard Class
CA-2018-129364,2018-12-13,Standard Class
CA-2020-104969,2020-04-14,Standard Class
CA-2021-154109,2021-11-11,Standard Class
CA-2019-156440,2019-12-09,Standard Class
CA-2019-132626,2019-07-14,Standard Class
CA-2020-102792,2020-12-19,Standard Class
CA-2020-108567,2020-05-24,Standard Class
CA-2021-140760,2021-06-05,Second Class
US-2019-131359,2019-11-02,Second Class
CA-2020-142097,2020-10-20,Standard Class
CA-2019-151680,2019-11-21,Second Class
CA-2018-140039,2018-09-17,Standard Class
CA-2021-160416,2021-11-18,Second Class
CA-2021-169411,2021-12-29,Standard Class
CA-2020-126543,2020-01-13,Second Class
CA-2019-104941,2019-06-19,Standard Class
CA-2021-160087,2021-03-22,Standard Class
CA-2018-120544,2018-11-27,Standard Class
CA-2021-113670,2021-10-17,First Class
CA-2021-166198,2021-04-24,First Class
CA-2018-135608,2018-12-10,Second Class
CA-2021-144568,2021-06-02,Standard Class
CA-2020-142370,2020-09-23,Standard Class
CA-2020-105900,2020-09-23,Standard Class
CA-2020-151155,2020-12-24,Standard Class
CA-2021-144036,2021-11-26,Standard Class
US-2018-169789,2019-01-04,Standard Class
CA-2021-127264,2021-04-05,First Class
CA-2020-151512,2021-01-02,Standard Class
CA-2020-165169,2020-06-11,Standard Class
CA-2019-109575,2019-09-23,Standard Class
CA-2021-168193,2021-03-11,Second Class
CA-2020-115476,2020-03-17,Same Day
CA-2020-133340,2020-12-13,Standard Class
CA-2020-137848,2020-01-21,Standard Class
CA-2018-113047,2018-10-24,Same Day
CA-2020-149979,2020-09-28,Second Class
CA-2021-161956,2021-08-29,Second Class
CA-2020-116799,2020-03-06,First Class
CA-2020-111283,2020-03-04,Standard Class
CA-2019-167745,2019-09-23,Standard Class
CA-2021-104577,2021-05-17,Standard Class
CA-2020-156251,2020-08-18,Second Class
CA-2021-125878,2021-03-02,Standard Class
CA-2020-163153,2020-03-25,Standard Class
CA-2019-103205,2019-12-10,Second Class
CA-2018-153913,2018-12-20,Second Class
CA-2020-155530,2020-12-21,Standard Class
US-2020-101196,2020-05-17,Standard Class
CA-2018-115357,2018-08-11,Second Class
US-2018-102715,2018-04-13,Second Class
CA-2019-107937,2019-05-08,Standard Class
US-2021-148768,2021-12-02,Second Class
CA-2021-118521,2021-02-20,Standard Class
CA-2018-149643,2018-11-20,Standard Class
CA-2019-135314,2019-07-14,Second Class
CA-2021-165204,2021-11-16,Second Class
CA-2021-125752,2021-08-04,Standard Class
CA-2021-112487,2021-12-30,Standard Class
CA-2020-144218,2020-11-04,Standard Class
CA-2020-169971,2020-09-09,Standard Class
